date,platform,country,review,star,user_id,issue_flag,likes_count,dislike_count,label
05.11.2025,Android,India,The search feature needs improvement and impacts usability.,2,user_4167,Yes,2,8,Negative
24.08.2025,iOS,USA,The ui/ux feature works smoothly and meets expectations.,3,user_7011,No,0,8,Neutral
14.12.2025,Android,India,The notifications feature needs improvement and impacts usability.,1,user_7047,Yes,0,8,Positive
04.01.2026,Android,USA,The ui/ux feature works smoothly and meets expectations.,3,user_8095,No,6,4,Negative
20.09.2025,Android,Australia,The login feature needs improvement and impacts usability.,1,user_9162,Yes,3,4,Negative
12.11.2025,Android,Brazil,The login feature works smoothly and meets expectations.,5,user_5630,No,8,10,Positive
04.09.2025,iOS,USA,The payments feature needs improvement and impacts usability.,1,user_4560,Yes,6,5,Positive
30.11.2025,iOS,Brazil,The notifications feature needs improvement and impacts usability.,2,user_5713,Yes,9,6,Positive
21.12.2025,Android,Brazil,The notifications feature works smoothly and meets expectations.,4,user_7236,No,9,2,Negative
29.11.2025,iOS,UK,The performance feature needs improvement and impacts usability.,1,user_2776,Yes,3,9,Neutral
20.11.2025,Android,India,The ui/ux feature works smoothly and meets expectations.,3,user_6771,No,0,8,Neutral
22.12.2025,iOS,USA,The ui/ux feature works smoothly and meets expectations.,3,user_9656,No,5,7,Neutral
20.08.2025,iOS,India,The login feature works smoothly and meets expectations.,4,user_7229,No,3,0,Negative
25.10.2025,Android,USA,The notifications feature needs improvement and impacts usability.,1,user_6863,Yes,6,7,Neutral
03.12.2025,Android,Australia,The performance feature needs improvement and impacts usability.,2,user_5899,Yes,0,7,Positive
14.12.2025,Android,USA,The payments feature works smoothly and meets expectations.,5,user_5977,No,0,6,Positive
06.12.2025,Android,USA,The performance feature works smoothly and meets expectations.,5,user_5821,No,1,8,Negative
30.09.2025,iOS,India,The login feature works smoothly and meets expectations.,4,user_9263,No,7,4,Neutral
25.11.2025,Android,USA,The search feature needs improvement and impacts usability.,1,user_4174,Yes,0,5,Negative
02.01.2026,Android,UK,The ui/ux feature works smoothly and meets expectations.,5,user_2179,No,9,9,Negative
11.12.2025,iOS,Brazil,The performance feature works smoothly and meets expectations.,3,user_5472,No,4,2,Neutral
15.11.2025,Android,USA,The payments feature needs improvement and impacts usability.,2,user_6664,Yes,10,10,Positive
12.11.2025,Android,Brazil,The login feature works smoothly and meets expectations.,4,user_3354,No,9,4,Positive
23.11.2025,iOS,Australia,The login feature needs improvement and impacts usability.,2,user_9652,Yes,7,6,Positive
01.09.2025,Android,Australia,The search feature works smoothly and meets expectations.,4,user_6110,No,0,8,Neutral
22.08.2025,iOS,Australia,The performance feature needs improvement and impacts usability.,2,user_4271,Yes,5,3,Positive
03.09.2025,iOS,Brazil,The login feature works smoothly and meets expectations.,4,user_9240,No,5,3,Positive
13.12.2025,iOS,UK,The notifications feature needs improvement and impacts usability.,2,user_8423,Yes,2,0,Neutral
21.12.2025,Android,Brazil,The payments feature works smoothly and meets expectations.,4,user_6055,No,10,10,Neutral
04.11.2025,iOS,USA,The notifications feature works smoothly and meets expectations.,4,user_3198,No,2,5,Neutral
01.09.2025,iOS,India,The notifications feature works smoothly and meets expectations.,3,user_5162,No,5,2,Negative
30.12.2025,Android,UK,The login feature works smoothly and meets expectations.,3,user_9667,No,7,4,Negative
15.12.2025,Android,USA,The search feature needs improvement and impacts usability.,1,user_3260,Yes,9,8,Positive
24.12.2025,iOS,Australia,The login feature works smoothly and meets expectations.,5,user_9454,No,1,9,Positive
28.08.2025,Android,UK,The notifications feature works smoothly and meets expectations.,4,user_7188,No,10,8,Negative
13.10.2025,Android,India,The notifications feature needs improvement and impacts usability.,2,user_1022,Yes,3,8,Negative
02.11.2025,Android,Australia,The performance feature works smoothly and meets expectations.,4,user_1194,No,2,7,Negative
27.08.2025,iOS,Brazil,The notifications feature works smoothly and meets expectations.,3,user_8472,No,8,2,Neutral
12.09.2025,Android,Australia,The search feature needs improvement and impacts usability.,1,user_1263,Yes,0,0,Positive
14.11.2025,Android,Brazil,The login feature needs improvement and impacts usability.,2,user_8996,Yes,10,9,Positive
03.09.2025,Android,Australia,The performance feature needs improvement and impacts usability.,1,user_1076,Yes,2,9,Positive
06.12.2025,iOS,Australia,The search feature needs improvement and impacts usability.,2,user_7644,Yes,6,2,Positive
09.12.2025,Android,Brazil,The login feature needs improvement and impacts usability.,1,user_5194,Yes,3,1,Positive
02.01.2026,iOS,UK,The search feature works smoothly and meets expectations.,4,user_3732,No,5,2,Neutral
22.11.2025,Android,Australia,The performance feature works smoothly and meets expectations.,4,user_3398,No,9,1,Negative
21.11.2025,iOS,Brazil,The ui/ux feature needs improvement and impacts usability.,1,user_6897,Yes,3,7,Negative
10.09.2025,iOS,Brazil,The notifications feature works smoothly and meets expectations.,5,user_2810,No,8,4,Neutral
03.01.2026,iOS,UK,The performance feature works smoothly and meets expectations.,4,user_6507,No,7,3,Positive
12.09.2025,iOS,India,The performance feature needs improvement and impacts usability.,1,user_6593,Yes,2,6,Neutral
14.08.2025,iOS,UK,The performance feature needs improvement and impacts usability.,2,user_5152,Yes,8,0,Neutral
26.08.2025,Android,UK,The search feature works smoothly and meets expectations.,4,user_7373,No,6,0,Neutral
25.07.2025,Android,USA,The payments feature works smoothly and meets expectations.,3,user_8972,No,8,4,Positive
23.12.2025,iOS,India,The ui/ux feature works smoothly and meets expectations.,5,user_8489,No,5,1,Positive
06.11.2025,Android,Brazil,The performance feature works smoothly and meets expectations.,3,user_1405,No,2,10,Neutral
04.10.2025,Android,Brazil,The notifications feature needs improvement and impacts usability.,1,user_7532,Yes,3,7,Negative
30.12.2025,Android,UK,The login feature works smoothly and meets expectations.,3,user_2264,No,2,1,Positive
08.10.2025,iOS,USA,The login feature works smoothly and meets expectations.,5,user_8103,No,4,2,Neutral
01.01.2026,iOS,Australia,The login feature works smoothly and meets expectations.,5,user_4407,No,4,8,Positive
